Harmless Harmless 1000 525.50415349 512.194414377
Harmless Harmless 1000 525.560667038 512.144804239
Harmless Harmless 1000 525.547269583 512.331683874
Harmless Harmless 1000 525.291006565 512.551647902
Begin AI Begin AI 480 265.652360678 260.332170486
Begin AI Ghost AI 489 270.210936308 267.476280928
Begin AI Ghost AI 716 383.275341988 378.059152603
Begin AI Ghost AI 498 273.94846487 273.971945524
Begin AI Ghost AI 892 470.956677675 463.227821112
Begin AI Ghost AI 222 137.346238613 138.273320675
Begin AI Ghost AI 754 402.258489847 397.864622355
Begin AI Begin AI 1000 525.574902296 509.674761057
Begin AI Ghost AI 878 463.941510677 457.221880913
Begin AI Ghost AI 1000 524.703944445 513.914913416
Harmless Harmless 1000 525.203628063 512.232325077
Harmless Ghost AI 244 148.371228218 149.451696157
Begin AI Begin AI 1000 525.395444632 510.412200928
Begin AI Ghost AI 1000 524.911739588 515.23322773
Harmless Ghost AI 254 153.131861448 154.266268492
Harmless Ghost AI 150 102.207824469 102.999354124
Begin AI Begin AI 1000 522.771337271 513.710161686
Begin AI Begin AI 1000 523.338994265 513.889429331
Ghost AI Ghost AI 144 98.5190761089 100.126856804
Begin AI Ghost AI 628 328.746539116 337.619071245
Ghost AI Ghost AI 144 99.1209666729 100.154578686
Begin AI Ghost AI 764 398.885651112 399.625198841
Begin AI Ghost AI 740 383.202645779 391.626636505
Begin AI Ghost AI 1000 524.625420332 513.065034151
Begin AI Ghost AI 1000 514.891007423 515.821948767
Begin AI Ghost AI 1000 507.056921244 517.504324198
Begin AI Ghost AI 1000 508.035953045 516.307539463
Begin AI Ghost AI 1000 509.17890501 515.666841745
Begin AI Begin AI 1000 515.487823009 513.370173693
Ghost AI Ghost AI 1000 523.842226982 512.145221233
Begin AI Ghost AI 1000 524.824306011 512.159473419
Begin AI Ghost AI 1000 523.149565458 518.227000952
Begin AI Ghost AI 564 301.482475758 304.141797304
Begin AI Ghost AI 564 301.450076103 304.394080162
Begin AI LUMBERJACKS 1000 522.937737226 515.240437984
Begin AI LUMBERJACKS 1000 521.832518816 517.108798027
Begin AI LUMBERJACKS 1000 523.956934452 515.923661709
Begin AI Begin AI 802 417.860065937 416.994594097
Begin AI LUMBERJACKS 582 312.322583675 314.316509008
Begin AI LUMBERJACKS 614 328.388072491 330.879635334
Begin AI LUMBERJACKS 484 251.050893068 266.57111001
Begin AI LUMBERJACKS 658 330.111488342 349.506693125
Begin AI LUMBERJACKS 1000 492.74485302 518.936160088
Begin AI LUMBERJACKS 474 247.367922068 261.421031952
Begin AI LUMBERJACKS 1000 404.434987783 522.831851482
Begin AI LUMBERJACKS 596 297.363081932 320.688749075
Begin AI LUMBERJACKS 670 330.701880455 356.429129124
Begin AI LUMBERJACKS 682 330.810600758 362.585493565
Begin AI LUMBERJACKS 768 374.409230947 404.43260932
Begin AI LUMBERJACKS 674 335.63737154 359.490980625
Begin AI LUMBERJACKS 1000 450.729062796 517.591649532
Begin AI LUMBERJACKS 444 205.891456604 248.338108063
Begin AI LUMBERJACKS 1000 439.222061396 522.203584671
Begin AI LUMBERJACKS 578 268.534591198 314.438592911
Begin AI LUMBERJACKS 578 267.851486206 314.28360939
Begin AI LUMBERJACKS 892 406.838858604 463.871110201
LUMBERJACKS Begin AI 110 82.8205180168 82.974350214
Begin AI Begin AI 414 228.45779705 232.929325581
Begin AI Begin AI 358 203.158562899 203.011990786
Begin AI Begin AI 422 233.89157176 233.7777071
Begin AI Begin AI 1000 403.095003843 513.101073503
Begin AI Begin AI 1000 522.57474041 511.656695843
Begin AI Begin AI 1000 425.691850901 510.953493834
Begin AI Begin AI 1000 456.617021322 508.211836815
Begin AI Begin AI 442 197.66468668 243.664591074
Begin AI Begin AI 474 259.413613796 248.994198084
Begin AI Begin AI 402 223.423045635 219.196722269
Begin AI Begin AI 644 339.31104064 339.027872324
Begin AI Begin AI 756 357.51868391 397.580331802
Begin AI Begin AI 376 211.606532574 205.211911201
Ghost AI Ghost AI 468 185.218352556 253.186816454
Ghost AI Ghost AI 550 219.352849722 291.720534563
Ghost AI Ghost AI 738 283.921953678 377.324435711
